XPK_COUNTERPARTY,FK_DATA,OWNERSHIP,COI,UNIT,SOURCE_SYSTEM,FULL_NAME,TOTAL_ASSETS,TOTAL_ASSETS_CURRENCY,TOTAL_TURNOVER,TOTAL_TURNOVER_CURRENCY,RatingID,ParentRatingID,LBRatingID,AnnualTurnover,AnnualTurnoverDirect,AnnualTurnoverParent,AnnualTurnoverLBR,TotalAssets,TotalAssetsDirect,TotalAssetsParent,TotalAssetsLBR
2616561,2616561,AAB,null,ABN AMRO Commercial ,FAIR,null,5583000,EUR,9087000,EUR,null,null,null,null,null,null,null,null,null,null,null
2705252,2705252,AAB,null,Bedrijven Regio Zuid,FAIR,null,3841000,EUR,2964000,EUR,null,null,null,null,null,null,null,null,null,null,null
2707853,2707853,AAB,null,NGM France Banque Ne,FAIR,null,6855000,EUR,5056000,EUR,null,null,null,null,null,null,null,null,null,null,null
2709368,2709368,AAB,null,Bedrijven Regio Midd,FAIR,null,7386000,EUR,15252000,EUR,null,null,null,null,null,null,null,null,null,null,null
2709413,2709413,AAB,null,Bedrijven Regio Midd,FAIR,null,4813000,EUR,475000,EUR,null,null,null,null,null,null,null,null,null,null,null
2711561,2711561,AAB,null,Bedrijven Regio Zuid,FAIR,null,8088000,EUR,14818000,EUR,null,null,null,null,null,null,null,null,null,null,null
2711581,2711581,AAB,null,CIB CFB T&L Transpor,FAIR,null,439721740.759826,EUR,75566590.1531831,EUR,null,null,null,null,null,null,null,null,null,null,null
2712640,2712640,AAB,null,Bedrijven Regio Zuid,FAIR,null,11609000,EUR,15632000,EUR,null,null,null,null,null,null,null,null,null,null,null
2713069,2713069,AAB,null,Bedrijven Regio Noor,FAIR,null,868000,EUR,800000,EUR,null,null,null,null,null,null,null,null,null,null,null
2715790,2715790,AAB,null,C&IB FI Europe,FAIR,null,850000000,EUR,100000000,EUR,null,null,null,null,null,null,null,null,null,null,null
2716229,2716229,AAB,null,Bedrijven Regio Zuid,FAIR,null,6355000,EUR,9370000,EUR,null,null,null,null,null,null,null,null,null,null,null
2716300,2716300,AAB,null,CBC Transport&Logist,FAIR,null,9501000,EUR,8035000,EUR,null,null,null,null,null,null,null,null,null,null,null
2716322,2716322,AAB,null,CIB CFB T&L Transpor,FAIR,null,2320409880.5646,EUR,690324828.085415,EUR,null,null,null,null,null,null,null,null,null,null,null
2716405,2716405,AAB,null,CIB CFB T&L Transpor,FAIR,null,2320409880.5646,EUR,690324828.085415,EUR,null,null,null,null,null,null,null,null,null,null,null
2716690,2716690,AAB,null,ABN AMRO Commercial ,FAIR,null,5528000,EUR,21955000,EUR,null,null,null,null,null,null,null,null,null,null,null
2717080,2717080,AAB,null,Bedrijven Regio Noor,FAIR,null,5769000,EUR,15525000,EUR,null,null,null,null,null,null,null,null,null,null,null
2717653,2717653,AAB,null,Bedrijven Regio Zuid,FAIR,null,5338000,EUR,13902000,EUR,null,null,null,null,null,null,null,null,null,null,null
2718327,2718327,AAB,null,Bedrijven Regio Zuid,FAIR,null,1994000,EUR,2295000,EUR,null,null,null,null,null,null,null,null,null,null,null
2718618,2718618,AAB,null,FR&R,FAIR,null,2937000,EUR,5388000,EUR,null,null,null,null,null,null,null,null,null,null,null
2718637,2718637,AAB,null,Bedrijven Regio Midd,FAIR,null,2609000,EUR,2569000,EUR,null,null,null,null,null,null,null,null,null,null,null
2719306,2719306,AAB,null,ABN AMRO Commercial ,FAIR,null,136569000,EUR,548603000,EUR,null,null,null,null,null,null,null,null,null,null,null
2719764,2719764,AAB,null,Bedrijven Regio Zuid,FAIR,null,12438000,EUR,33444000,EUR,null,null,null,null,null,null,null,null,null,null,null
2719782,2719782,AAB,null,CIB Corporate Lendin,FAIR,null,291922000,EUR,429416000,EUR,null,null,null,null,null,null,null,null,null,null,null
2719784,2719784,AAB,null,CIB Corporate Lendin,FAIR,null,291922000,EUR,429416000,EUR,null,null,null,null,null,null,null,null,null,null,null
2720055,2720055,AAB,null,CIB Corporate Lendin,FAIR,null,585235678.845286,EUR,360182679.296346,EUR,null,null,null,null,null,null,null,null,null,null,null
2720363,2720363,AAB,null,CIB Corporate Lendin,FAIR,null,1177178000,EUR,590800000,EUR,null,null,null,null,null,null,null,null,null,null,null
2720730,2720730,AAB,null,Bedrijven Regio Zuid,FAIR,null,7262000,EUR,11191000,EUR,null,null,null,null,null,null,null,null,null,null,null
2721125,2721125,AAB,null,Bedrijven Regio Zuid,FAIR,null,206252000,EUR,390156000,EUR,null,null,null,null,null,null,null,null,null,null,null
2721704,2721704,AAB,null,Bedrijven Regio Noor,FAIR,null,1754000,EUR,3607000,EUR,null,null,null,null,null,null,null,null,null,null,null
2722428,2722428,AAB,null,CIB Corporate Lendin,FAIR,null,23586613956.0541,EUR,20940161196.4083,EUR,null,null,null,null,null,null,null,null,null,null,null
2722670,2722670,AAB,null,ABN AMRO Commercial ,FAIR,null,13006314.8398737,EUR,17545105.9990979,EUR,null,null,null,null,null,null,null,null,null,null,null
2722830,2722830,AAB,null,CIB Corporate Lendin,FAIR,null,13072600000,EUR,3068700000,EUR,null,null,null,null,null,null,null,null,null,null,null
2723649,2723649,AAB,null,CIB Corporate Lendin,FAIR,null,2056200000,EUR,1689200000,EUR,null,null,null,null,null,null,null,null,null,null,null
2724220,2724220,AAB,null,Bedrijven Regio Zuid,FAIR,null,5739000,EUR,6893000,EUR,null,null,null,null,null,null,null,null,null,null,null
2724510,2724510,AAB,null,Bedrijven Regio Zuid,FAIR,null,1762000,EUR,649000,EUR,null,null,null,null,null,null,null,null,null,null,null
2724755,2724755,AAB,null,CIB NR Energy EMEA,FAIR,null,7929919895.06722,EUR,4354054433.8783,EUR,null,null,null,null,null,null,null,null,null,null,null
2724757,2724757,AAB,null,CIB NR Energy EMEA,FAIR,null,7929919895.06722,EUR,4354054433.8783,EUR,null,null,null,null,null,null,null,null,null,null,null
2724759,2724759,AAB,null,CIB NR Energy EMEA,FAIR,null,7929919895.06722,EUR,4354054433.8783,EUR,null,null,null,null,null,null,null,null,null,null,null
2724760,2724760,AAB,null,CIB NR Energy EMEA,FAIR,null,7929919895.06722,EUR,4354054433.8783,EUR,null,null,null,null,null,null,null,null,null,null,null
2725543,2725543,AAB,null,ABN AMRO Commercial ,FAIR,null,2090663.05818674,EUR,5993459.63013081,EUR,null,null,null,null,null,null,null,null,null,null,null
2725574,2725574,AAB,null,CBC Real Estate,FAIR,null,132701000,EUR,1452000,EUR,null,null,null,null,null,null,null,null,null,null,null
2725892,2725892,AAB,null,Bedrijven Regio Zuid,FAIR,null,6151000,EUR,7038000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726214,2726214,AAB,null,CIB Corporate Lendin,FAIR,null,3729687000,EUR,2046841000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726215,2726215,AAB,null,CIB Corporate Lendin,FAIR,null,3729687000,EUR,2046841000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726216,2726216,AAB,null,CIB Corporate Lendin,FAIR,null,3729687000,EUR,2046841000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726224,2726224,AAB,null,CIB Corporate Lendin,FAIR,null,3729687000,EUR,2046841000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726260,2726260,AAB,null,CIB Corporate Lendin,FAIR,null,3729687000,EUR,2046841000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726262,2726262,AAB,null,CIB Corporate Lendin,FAIR,null,3729687000,EUR,2046841000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726276,2726276,AAB,null,CIB Corporate Lendin,FAIR,null,3729687000,EUR,2046841000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726283,2726283,AAB,null,CIB Corporate Lendin,FAIR,null,3729687000,EUR,2046841000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726367,2726367,AAB,null,Bedrijven Regio Zuid,FAIR,null,96178000,EUR,440399000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726371,2726371,AAB,null,Bedrijven Regio Zuid,FAIR,null,5377000,EUR,8539000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726447,2726447,AAB,null,CIB Corporate Lendin,FAIR,null,165425000,EUR,168802000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726449,2726449,AAB,null,CIB Corporate Lendin,FAIR,null,165425000,EUR,168802000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726450,2726450,AAB,null,CIB Corporate Lendin,FAIR,null,165425000,EUR,168802000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726451,2726451,AAB,null,CIB Corporate Lendin,FAIR,null,165425000,EUR,168802000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726453,2726453,AAB,null,CIB Corporate Lendin,FAIR,null,165425000,EUR,168802000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726456,2726456,AAB,null,BU NL CC Midden,FAIR,null,165425000,EUR,168802000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726457,2726457,AAB,null,CBC Tech Media&Telec,FAIR,null,165425000,EUR,168802000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726458,2726458,AAB,null,CIB Corporate Lendin,FAIR,null,165425000,EUR,168802000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726459,2726459,AAB,null,CIB Corporate Lendin,FAIR,null,165425000,EUR,168802000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726461,2726461,AAB,null,CIB Corporate Lendin,FAIR,null,165425000,EUR,168802000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726733,2726733,AAB,null,CIB Corporate Lendin,FAIR,null,1335598000,EUR,2117317000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726811,2726811,AAB,null,CIB Corporate Lendin,FAIR,null,1335598000,EUR,2117317000,EUR,null,null,null,null,null,null,null,null,null,null,null
2726827,2726827,AAB,null,CIB Corporate Lendin,FAIR,null,305555000,EUR,278954000,EUR,null,null,null,null,null,null,null,null,null,null,null
2727597,2727597,AAB,null,CIB NR Energy Oslo,FAIR,null,3902439024.39024,EUR,582869214.518917,EUR,null,null,null,null,null,null,null,null,null,null,null
2728133,2728133,AAB,null,Bedrijven Regio Zuid,FAIR,null,7662000,EUR,11873000,EUR,null,null,null,null,null,null,null,null,null,null,null
2728721,2728721,AAB,null,CIB Corporate Lendin,FAIR,null,7229506000,EUR,10090629000,EUR,null,null,null,null,null,null,null,null,null,null,null
2728887,2728887,AAB,null,CBC Business Service,FAIR,null,595838000,EUR,374191000,EUR,null,null,null,null,null,null,null,null,null,null,null
2728900,2728900,AAB,null,CBC Business Service,FAIR,null,595838000,EUR,374191000,EUR,null,null,null,null,null,null,null,null,null,null,null
2728901,2728901,AAB,null,CBC Business Service,FAIR,null,595838000,EUR,374191000,EUR,null,null,null,null,null,null,null,null,null,null,null
2728914,2728914,AAB,null,CBC Business Service,FAIR,null,595838000,EUR,374191000,EUR,null,null,null,null,null,null,null,null,null,null,null
2728950,2728950,AAB,null,CBC Business Service,FAIR,null,595838000,EUR,374191000,EUR,null,null,null,null,null,null,null,null,null,null,null
2728952,2728952,AAB,null,CBC Business Service,FAIR,null,595838000,EUR,374191000,EUR,null,null,null,null,null,null,null,null,null,null,null
2729013,2729013,AAB,null,FR&R,FAIR,null,1732000,EUR,2449000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730288,2730288,AAB,null,ABN AMRO Commercial ,FAIR,null,318682.62054259,EUR,855348.892311337,EUR,null,null,null,null,null,null,null,null,null,null,null
2730309,2730309,AAB,null,ABN AMRO Commercial ,FAIR,null,34570135.7466063,EUR,112235055.965706,EUR,null,null,null,null,null,null,null,null,null,null,null
2730316,2730316,AAB,null,BU NL CC Noord West,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730317,2730317,AAB,null,CBC Leisure,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730323,2730323,AAB,null,BU NL CC Noord West,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730324,2730324,AAB,null,BU NL CC Noord West,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730326,2730326,AAB,null,BU NL CC Noord West,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730328,2730328,AAB,null,BU NL CC Noord West,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730331,2730331,AAB,null,BU NL CC Noord West,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730334,2730334,AAB,null,CBC Leisure,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730335,2730335,AAB,null,CBC Leisure,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730337,2730337,AAB,null,BU NL CC Noord West,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730338,2730338,AAB,null,BU NL CC Noord West,FAIR,null,374208000,EUR,29965000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730454,2730454,AAB,null,CIB Corporate Lendin,FAIR,null,3984470392.98204,EUR,264833145.634521,EUR,null,null,null,null,null,null,null,null,null,null,null
2730534,2730534,AAB,null,CBC Business Service,FAIR,null,18531000,EUR,48679000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730589,2730589,AAB,null,ABN AMRO Commercial ,FAIR,null,47661000,EUR,59881000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730854,2730854,AAB,null,CBC Construction,FAIR,null,106093000,EUR,204711000,EUR,null,null,null,null,null,null,null,null,null,null,null
2730855,2730855,AAB,null,Bedrijven Regio Zuid,FAIR,null,106093000,EUR,204711000,EUR,null,null,null,null,null,null,null,null,null,null,null
2732064,2732064,AAB,null,BU NL CC Midden,FAIR,null,512930000,EUR,323516000,EUR,null,null,null,null,null,null,null,null,null,null,null
2732205,2732205,AAB,null,FR&R,FAIR,null,2047000,EUR,1955000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733002,2733002,AAB,null,Bedrijven Regio Zuid,FAIR,null,9834000,EUR,21647000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733055,2733055,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733527,2733527,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733530,2733530,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733531,2733531,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733532,2733532,AAB,null,BU NL FRR CC,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733535,2733535,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733536,2733536,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733537,2733537,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733538,2733538,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733541,2733541,AAB,null,BU NL FRR CC,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733543,2733543,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733544,2733544,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733546,2733546,AAB,null,CBC Transport&Logist,FAIR,null,120233000,EUR,281675000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733555,2733555,AAB,null,CBC Real Estate,FAIR,null,143248000,EUR,15835000,EUR,null,null,null,null,null,null,null,null,null,null,null
2733556,2733556,AAB,null,CBC Real Estate,FAIR,null,143248000,EUR,15835000,EUR,null,null,null,null,null,null,null,null,null,null,null
2734877,2734877,AAB,null,Bedrijven Regio Zuid,FAIR,null,4856000,EUR,17746000,EUR,null,null,null,null,null,null,null,null,null,null,null
2735071,2735071,AAB,null,Bedrijven Regio Zuid,FAIR,null,1239000,EUR,730000,EUR,null,null,null,null,null,null,null,null,null,null,null
2736201,2736201,AAB,null,CBC Leisure,FAIR,null,1038171000,EUR,158931000,EUR,null,null,null,null,null,null,null,null,null,null,null
2736204,2736204,AAB,null,CBC Leisure,FAIR,null,1038171000,EUR,158931000,EUR,null,null,null,null,null,null,null,null,null,null,null
2736206,2736206,AAB,null,CBC Leisure,FAIR,null,1038171000,EUR,158931000,EUR,null,null,null,null,null,null,null,null,null,null,null
2736207,2736207,AAB,null,CBC Leisure,FAIR,null,1038171000,EUR,158931000,EUR,null,null,null,null,null,null,null,null,null,null,null
2736217,2736217,AAB,null,CBC Leisure,FAIR,null,1038171000,EUR,158931000,EUR,null,null,null,null,null,null,null,null,null,null,null
2737292,2737292,AAB,null,NGM France Banque Ne,FAIR,null,69148000,EUR,65259000,EUR,null,null,null,null,null,null,null,null,null,null,null
2738573,2738573,AAB,null,CBC Business Service,FAIR,null,201842000,EUR,403817000,EUR,null,null,null,null,null,null,null,null,null,null,null
2738718,2738718,AAB,null,CIB Corporate Lendin,FAIR,null,1308416000,EUR,1855231000,EUR,null,null,null,null,null,null,null,null,null,null,null
2738731,2738731,AAB,null,CIB Corporate Lendin,FAIR,null,267316000,EUR,894050000,EUR,null,null,null,null,null,null,null,null,null,null,null
2844893,2844893,AAB,null,null,FAIR,null,53224800000,EUR,1220600000,EUR,2844893,2958783,666100_100914,1.2206000000000002E9,null,null,1.2206000000000002E9,5.32248E10,null,null,5.32248E10
2853256,2853256,AAB,null,null,FAIR,null,67460489230.8,EUR,5239143649.92,EUR,2853256,2958792,666100_100843,5.23914364992E9,null,null,5.23914364992E9,6.7460489230799995E10,null,null,6.7460489230799995E10
2853798,2853798,AAB,null,null,FAIR,null,64087895060,EUR,1105937980,EUR,2853798,null,666100_101031,1.10593798E9,null,null,1.10593798E9,6.408789505999999E10,null,null,6.408789505999999E10
2853800,2853800,AAB,null,null,FAIR,null,65199840000,EUR,3463068000,EUR,2853800,null,666100_101050,3.463068E9,null,null,3.463068E9,6.519983999999999E10,null,null,6.519983999999999E10
2853801,2853801,AAB,null,null,FAIR,null,1312331000000,EUR,28879000000,EUR,2853801,null,666100_101054,2.8878999999999996E10,null,null,2.8878999999999996E10,1.312331E12,null,null,1.312331E12
2853802,2853802,AAB,null,null,FAIR,null,644589000000,EUR,8242000000,EUR,2853802,null,666100_101058,8.242000000000001E9,null,null,8.242000000000001E9,6.44589E11,null,null,6.44589E11
2853815,2853815,AAB,null,null,FAIR,null,273364000000,EUR,3447000000,EUR,2853815,null,666100_101081,3.447E9,null,null,3.447E9,2.7336399999999997E11,null,null,2.7336399999999997E11
2854427,2854427,AAB,null,null,FAIR,null,115540000000,EUR,516000000,EUR,2854427,null,666100_100937,5.159999999999999E8,null,null,5.159999999999999E8,1.1554E11,null,null,1.1554E11
2854430,2854430,AAB,null,null,FAIR,null,16835900000,EUR,669400000,EUR,2854430,null,666100_100946,6.694E8,null,null,6.694E8,1.6835899999999998E10,null,null,1.6835899999999998E10
2854431,2854431,AAB,null,null,FAIR,null,16175571000,EUR,466300000,EUR,2854431,null,666100_100947,4.6630000000000006E8,null,null,4.6630000000000006E8,1.6175571000000002E10,null,null,1.6175571000000002E10
2854433,2854433,AAB,null,null,FAIR,null,10282400000,EUR,251200000,EUR,2854433,null,666100_101008,2.5120000000000003E8,null,null,2.5120000000000003E8,1.02824E10,null,null,1.02824E10
2854447,2854447,AAB,null,null,FAIR,null,84486420000,EUR,5995764000,EUR,2854447,null,666100_101049,5.995763999999999E9,null,null,5.995763999999999E9,8.448642E10,null,null,8.448642E10
2854455,2854455,AAB,null,null,FAIR,null,517166000000,EUR,10337000000,EUR,2854455,null,666100_101084,1.0337E10,null,null,1.0337E10,5.1716600000000006E11,null,null,5.1716600000000006E11
2854463,2854463,AAB,null,null,FAIR,null,517166000000,EUR,10337000000,EUR,2854463,null,666100_101136,1.0337E10,null,null,1.0337E10,5.1716600000000006E11,null,null,5.1716600000000006E11
2862826,2862826,AAB,null,null,FAIR,null,21887718864,EUR,1066226700,EUR,2862826,2960985,666100_101097,1.0662267000000001E9,null,null,1.0662267000000001E9,2.1887718864E10,null,null,2.1887718864E10
2862827,2862827,AAB,null,null,FAIR,null,72793731800,EUR,1947204590,EUR,2862827,2960985,666100_101098,1.9472045900000002E9,null,null,1.9472045900000002E9,7.27937318E10,null,null,7.27937318E10
2862845,2862845,AAB,null,null,FAIR,null,14283400000,EUR,430000000,EUR,2862845,null,666100_101177,4.3000000000000006E8,null,null,4.3000000000000006E8,1.42834E10,null,null,1.42834E10
2863099,2863099,AAB,null,null,FAIR,null,2189398000000,EUR,25173000000,EUR,2863099,null,666100_101166,2.5173E10,null,null,2.5173E10,2.1893980000000002E12,null,null,2.1893980000000002E12
2863100,2863100,AAB,null,null,FAIR,null,903573000000,EUR,10598000000,EUR,2863100,null,666100_101180,1.0597999999999998E10,null,null,1.0597999999999998E10,9.03573E11,null,null,9.03573E11
2867864,2867864,AAB,null,null,FAIR,null,4793937846.44,EUR,167416407.06,EUR,2867864,null,666100_101130,1.6741640706000003E8,null,null,1.6741640706000003E8,4.793937846440001E9,null,null,4.793937846440001E9
2872665,2872665,AAB,null,null,FAIR,null,8129900000,EUR,579100000,EUR,2872665,2863099,666100_101178,5.791E8,null,null,5.791E8,8.129899999999999E9,null,null,8.129899999999999E9
2872670,2872670,AAB,null,null,FAIR,null,45795018000,EUR,15897000,EUR,2872670,2863100,666100_101187,1.5896999999999998E7,null,null,1.5896999999999998E7,4.5795018E10,null,null,4.5795018E10
2872671,2872671,AAB,null,null,FAIR,null,11018229815,EUR,516074599,EUR,2872671,2863102,666100_101189,5.1607459899999994E8,null,null,5.1607459899999994E8,1.1018229815E10,null,null,1.1018229815E10
2872672,2872672,AAB,null,null,FAIR,null,16860356920,EUR,769372296,EUR,2872672,2863102,666100_101190,7.69372296E8,null,null,7.69372296E8,1.6860356920000002E10,null,null,1.6860356920000002E10
2872674,2872674,AAB,null,null,FAIR,null,2995564560,EUR,158833040,EUR,2872674,2863102,666100_101192,1.5883303999999997E8,null,null,1.5883303999999997E8,2.99556456E9,null,null,2.99556456E9
2872681,2872681,AAB,null,null,FAIR,null,39230100000,EUR,23100000,EUR,2872681,2863099,666100_101203,2.3100000000000004E7,null,null,2.3100000000000004E7,3.92301E10,null,null,3.92301E10
2872686,2872686,AAB,null,null,FAIR,null,8521800000,EUR,126900000,EUR,2872686,null,666100_101208,1.2690000000000001E8,null,null,1.2690000000000001E8,8.521800000000001E9,null,null,8.521800000000001E9
2872689,2872689,AAB,null,null,FAIR,null,3425711509.64,EUR,100108721.76,EUR,2872689,null,666100_101216,1.0010872176E8,null,null,1.0010872176E8,3.4257115096400003E9,null,null,3.4257115096400003E9
2872691,2872691,AAB,null,null,FAIR,null,69648000000,EUR,178000000,EUR,2872691,null,666100_101221,1.7800000000000003E8,null,null,1.7800000000000003E8,6.9648E10,null,null,6.9648E10
2879437,2879437,AAB,null,null,FAIR,null,136349000000,EUR,4734000000,EUR,2879437,null,666100_101256,4.734E9,null,null,4.734E9,1.3634899999999998E11,null,null,1.3634899999999998E11
2881661,2881661,AAB,null,null,FAIR,null,4586200000,EUR,127700000,EUR,2881661,null,666100_101156,1.2770000000000001E8,null,null,1.2770000000000001E8,4.5862E9,null,null,4.5862E9
2881666,2881666,AAB,null,null,FAIR,null,12917583230.88,EUR,1077918754.24,EUR,2881666,2863098,666100_101164,1.0779187542400002E9,null,null,1.0779187542400002E9,1.291758323088E10,null,null,1.291758323088E10
2881676,2881676,AAB,null,null,FAIR,null,155901945192,EUR,6106065392,EUR,2881676,null,666100_101246,6.106065392000001E9,null,null,6.106065392000001E9,1.55901945192E11,null,null,1.55901945192E11
2881679,2881679,AAB,null,null,FAIR,null,262883808936,EUR,12535443672,EUR,2881679,null,666100_101249,1.2535443672E10,null,null,1.2535443672E10,2.6288380893599997E11,null,null,2.6288380893599997E11
2881680,2881680,AAB,null,null,FAIR,null,2041423549,EUR,79403621,EUR,2881680,2881679,666100_101250,7.940362100000001E7,null,null,7.940362100000001E7,2.041423549E9,null,null,2.041423549E9
