DeliveryEntity,ReportingDate,AccruedFeesAmountDebitCreditIndicator,AccruedFeesAmountReportingAmount,AccruedFeesAmountReportingCurrency,AccruedFeesAmountTransactionAmount,AccruedFeesAmountTransactionCurrency,AlternativeLocalReferenceIdentifier,ApprovedLossGivenDefaultRatingDate,ArrangementParticipationType,BaselIIProductType,BookType,BorrowingBaseReportingAmount,BorrowingBaseReportingCurrency,BorrowingBaseTransactionAmount,BorrowingBaseTransactionCurrency,BusinessSegment,ContractStatus,ContractStatusDate,CreditAgreement,CreditAssessmentForDrawDownUnderUnadvisedCreditLimitIndicator,CreditConversionFactor,CreditLimitReportingAmount,CreditLimitReportingCurrency,CreditLimitTransactionAmount,CreditLimitTransactionCurrency,CreditProductProgramSegment,Default,DefaultDate,DefaultEndDate,DownturnLossGivenDefault,EADAmountBeforeApplicationOfConservatismReportingAmount,EADAmountBeforeApplicationOfConservatismReportingCurrency,EADAmountBeforeApplicationOfConservatismTransactionAmount,EADAmountBeforeApplicationOfConservatismTransactionCurrency,EADModelCode,ELBEPercentageBeforeApplicationOfConservatism,ExemptionFromAdvancedInternalRatingBasedApproach,ExposureAtDefaultReportingAmount,ExposureAtDefaultReportingCurrency,FacilityType,Forborne,ForborneDate,GlobalFacilityIdentifier,HighQualityIndicator,Ifrs9RiskStage,IncomeProducingRealEstateFinance,InfrastructuralSupportingFactor,InsuredFlag,LandAcquisitionDevelopmentAndConstructionExposureFinance,LGDMarginOfConservatism,LGDModelCode,LGDPercentageBeforeConservatism,LGDType,LoanLossAllowanceRcoa,LoanLossAllowanceReportingAmount,LoanLossAllowanceReportingCurrency,LoanLossAllowanceTransactionAmount,LoanLossAllowanceTransactionCurrency,LocalFacilityIdentifier,LocalReferenceIdentifier,LossGivenDefaultClass,MaturityDate,NonperformingEndDate,NonperformingStartDate,ParentCreditFacility,ParentCreditFacilitySourceSystemIdentifier,PDMarginOfConservatism,PDModelCode,PDPercentageBeforeConservatism,PensionerFlag,PerformingIndicator,PlNplIndicator,ProbabilityOfDefault,ProductProgram,ProjectFinancePhaseIndicator,ReportingEntity,Revolving,RiskWeightedExposureApproach,SourceSystemIdentifier,SpecialisedLendingType,ThroughTheCycleLossGivenDefault,TradeDate,TypeOfCommitment,UnadvisedCreditLimitReportingAmount,UnadvisedCreditLimitReportingCurrency,UnadvisedCreditLimitTransactionAmount,UnadvisedCreditLimitTransactionCurrency,UndrawnRcoa,UndrawnReportingAmount,UndrawnReportingCurrency,UndrawnTransactionAmount,UndrawnTransactionCurrency
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,350000,EUR,350000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019648010321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-11-01,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,340000,EUR,340000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019648020321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-10-03,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,270000,EUR,270000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019648050321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-02-01,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,340000,EUR,340000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019648120321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-09-01,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,340000,EUR,340000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019648190321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-08-01,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,164720,EUR,164720,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019648220321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2006-04-03,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,370000,EUR,370000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019648350321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2006-02-01,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,340000,EUR,340000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019648530321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-07-01,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,300000,EUR,300000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019648780321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-05-02,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,320000,EUR,320000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019649040321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-06-01,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,260000,EUR,260000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019702800321,null,null,2025-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-05-03,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,6690000,EUR,6690000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019737190321,null,null,2026-07-08,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2011-07-08,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,285000,EUR,285000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019743360312,null,null,2027-04-05,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-05-06,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,325000,EUR,325000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019743750312,null,null,2030-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-05-03,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,300000,EUR,300000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019743790312,null,null,2028-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-05-03,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,310000,EUR,310000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019743800312,null,null,2029-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-05-03,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,275000,EUR,275000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019746970312,null,null,2026-04-07,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-05-03,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,340000,EUR,340000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019757850312,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-05-03,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,270000,EUR,270000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019759050321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-03-01,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,360000,EUR,360000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019774980321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-12-01,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,360000,EUR,360000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019775080321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2006-01-02,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,513880,EUR,513880,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019775140321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-01-03,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,280000,EUR,280000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019775150321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2005-04-04,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,340000,EUR,340000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00019775170321,null,null,2031-04-03,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2006-03-01,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,2500000,EUR,2500000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00025938350344,null,null,2032-05-10,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2012-05-10,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,3500000,EUR,3500000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00025938530344,null,null,2027-05-10,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2012-05-10,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,7500000,EUR,7500000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00030899770344,null,null,2032-07-02,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2012-07-02,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,1000000,EUR,1000000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00032966530344,null,null,2042-07-28,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2012-07-27,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
FBS,2024-12-31,null,null,null,null,null,null,null,null,156,null,0,EUR,0,EUR,6010,ACTIVE,null,N,null,null,3000000,EUR,3000000,EUR,null,N,null,null,0,null,null,null,null,null,null,null,null,null,CF,N,null,null,null,null,null,null,null,N,null,null,null,null,null,0,EUR,0,EUR,FRX00034792490344,null,null,2027-08-16,null,null,null,null,null,null,null,null,PERF,NPL,null,null,null,525107,N,null,AAB.SYS.1861,null,null,2012-08-14,Y,0,EUR,0,EUR,75071010,0,EUR,0,EUR
